prvccID	language
COMMON_MinuteSecond	{0}分{1}秒
COMMON_TENTHOUSAND	万
HUNDRED_MILLION	亿
COMMON_DAY	天
COMMON_HOURS	时
COMMON_MINUTE	分
COMMON_SECONDS	秒
COMMON_STANDARD_MOUTH_STRING	M月d日HH点mm分
DEAD_EUDEMON_CAN_NOT_FIGHT	死亡幻兽不能出征
DEAD_EUDEMON_CAN_NOT_FIT	死亡幻兽不能合体
DEAD_EUDEMON_CAN_NOT_SEAL	死亡幻兽不能封印
DEAD_EUDEMON_CAN_NOT_FEED	死亡幻兽不能喂食
NOTICE_CAN_FIGHT_TWO_RARE_EUDEMON	最多可出征两只珍兽
HIGHT_LEVEL_EUDEMON_CAN_NOT_FIGHT	高于角色等级的幻兽不能出征
DEAD_EUDEMON_CAN_NOT_PUT_IN_HOUSE	死亡幻兽不能放入仓库
COMMON_COIN	银币
COMMON_GOLD	金币
COMMON_STONE	魔石
COMMON_BIND_STONE	绑定魔石
COMMON_HONOR	战勋
COMMON_DEMONCOIN	恶魔币
NO_ENOUTH	不足
NO_ENOUTH_ONE_DAY	不足1天
YOU	你
THE_OTHER	对方
MINUTE_AGO	{0}分钟前
HOUR_AGO	{0}小时前
ADD_PLAYER_PROPERTY	增加角色{0}
ADD_EUDEMON_PROPERTY	增加出征幻兽{0}
DAY_AGO	{0}天前
LEFT_TIME	剩余
OUT_TIME	{0}结束
CHANGE	更换
REGISTER	登记
RECHARGE	充值
RECEIVE	领取
NORMAL_PROPERTY	基本属性
NOTCOMPOLETE	未完成
INVALID_LOAD_PATH	该路径存在非法字符{0}
CAN_INPUT_CHINESE_CHARACTERS_NUM	还能输入{0}个字
LOAD_ASSET_TIPS	拼命加载资源中，此过程不消耗流量
TARGET_DEAD 目标已死亡
MY_FRIEND	我的好友
ADD_BLACK	添加黑名单
ADD_FRIEND	添加好友
DEL_FRIEND	删除好友
MOVE_TO_OTHER_GROUP	移动分组
FRIEND_RECOMMEND	系统推荐好友:
FRIEND_ASK	好友申请:
DEL_BLACK	移除黑名单
SURE_DEL_FRIEND	是否确认删除好友{0}？
SURE_ADD_BLACK	是否确认将{0}加入黑名单？
SURE_DEL_BLACK	是否确认将{0}移除黑名单？
SURE_DEL_THIS_GROUP	是否删除此分组？
CANT_ADD_SELF	不可以添加自己为好友
SENDGIFT	赠送礼物
MY_FRIEND_NUM	好友数量：{0}/{1}
BLACKLIST	黑名单
FRIEND_AFFECTION	好友度+{0}
COMMON_OK	确认
COMMON_CANCEL	取消
ACCOUNT_VERIFICATION_FAIL	账号验证失败\n{0}
NETWORK_FAIL	服务器连接失败
CONNECTED_TIMEOUT	服务器连接超时
NETWORK_DISCONNECT	与服务器断开连接，请重新连接（错误码：{0}）
NETWORK_CONNECT	服务器连接成功
SERVER_MAINTENANCE	服务器正在维护中，请稍后登录
SERVER_PLAYER_FULL	当前服务器注册人数已满
SERVER_NOT_OPEN	当前选择服务器未开放
SERVER_QUEUE_UP	您前面还有<color=#c02b32>{0}</color>名玩家
OPERATION_FREQUENT_TIPS	操作频繁，请稍后再试
DIFF_ACCOUNT_TIPS_TITLE	账号异常
DIFF_ACCOUNT_TIPS_CONTENT	{0}账号与游戏登陆账号不一致，是否切换账号？
GAME_VERSION	版本号：{0}
TENCENT_USER_PROTOCOL	《腾讯游戏许可及服务协议》
TENCENT_PRIVACY_PROTOCOL	《隐私政策》
GAME_PROTOCOL_TIPS_ANDROID	感谢您使用本游戏，使用游戏前应该阅读并同意《腾讯游戏许可及服务协议》；如果您拒绝，将无法进入游戏。
GAME_PROTOCOL_TIPS_IOS	感谢您使用本游戏，使用游戏前应该阅读并同意《腾讯游戏许可及服务协议》和《隐私政策》；如果您拒绝，将无法进入游戏。
GAME_PROTOCOL_TIPS1	您确定要拒绝用户协议和隐私政策吗？拒绝后将无法进入游戏哦。
GAME_PROTOCOL_TIPS2	请勾选同意下方用户协议和隐私政策，即可进入游戏哦。
WCHAT_CODE_LOGIN_TIPS	未安装微信，是否通过二维码登陆？
AGREE	同意
REFUSED	拒绝
QQ_CHAT	QQ
WX_CHAT 微信
COMMON_TITLE	提示
ADD_HOSTING_TIME_HINT	使用该道具将超出环保练功时间上限，超出部分不会获得，是否继续使用
Have_More_bag_count 请预留{0}个背包空格
QUESTACCEPT	接 取
QUESTSUBMIT	提交
QUESTGO	前 往
QUESTLEAVE	离 开
STARSTEP_NOTICE_1	通关越快，评星越高，通关奖励越多。
STARSTEP_NOTICE_2	不消耗副本次数！
QUEST_CANNOT_CANCEL	这个任务是不可放弃的
QuestNotAccept	此任务尚未接到
BagFull	背包空间不足
QuestNotComplete	任务尚未完成
AcceptQuest	任务接取成功
ACCEPT_SUCCESS	接取成功
QuestSubmit	任务提交成功
QUEST_COMPLETED	<color={0}>已完成</color>
QUEST_COMPLETED_WHITE	已完成
QUEST_CANACCEPT	<color={0}>可接受</color>
QUEST_ACCEPT_LEVEL	<color=#ff0000>任务{0}级开启</color>
QUEST	任务
QUEST_BRANCH	<color=#00ff00>支线：</color>{0}
QUEST_DAILY	<color=#0e81d1>日常：</color>{0}({1}/{2})
QUEST_SPECIAL	<color=#ff0000>特殊：</color>{0}
QUEST_MAIN	<color=#ffee5b>第{0}章：{1}</color>
QUEST_FOREWARD	<color=#ffee5b>序章：{0}</color>
QUEST_BRANCH_CAN_ACCEPT_NUM	<color=#00ff00>支线：</color>共有{0}个任务
DATA_NOTEXISTS	无法查找
TASK_DONT_KNOW_TASK	未知任务
TASK_NOTEXISTS	任务不存在
TASK_THE_TASK_CLEARED	任务<color=#00ff00>{0}</color>已清除
TASK_DONT_KNOW_TARGET	未知目标{0}
TASK_KILL_MONSTER	击败<color=#00ff00>{0}</color>({1}/{2})
TASK_KILL_MONSTER_WITH_LEVEL	击败<color=#00ff00>{0}</color>到<color=#00ff00>{1}</color>怪物<color=#00ff00>{2}</color>个({3}/{4})
TASK_COLLECT	收集<color=#00ff00>{0}</color>{1}个({2}/{3})
TASK_COLLECT_PICKUP	采集<color=#00ff00>{0}</color>({1}/{2})
TASK_COLLECT_BUY	购买<color=#00ff00>{0}</color>({1}/{2})
TASK_SURVEY	调查<color=#00ff00>{0}</color>({1}/{2})
TASK_TALK_WITH_NPC	与<color=#00ff00>{0}</color>交谈
TASK_FIND_NPC	找到<color=#00ff00>{0}</color>
TASK_USEITEM_ANYWHERE	使用<color=#00ff00>{0}</color>(<color=#00ff00>{1}</color>/{2})
TASK_PASS_DUPLICATE	通关<color=#00ff00>{0}</color>({1}/{2})
TASK_ARRIVE	前往<color=#00ff00>({0},{1})</color>
TASK_COMPLETE_ACT	完成<color=#00ff00>{0}{1}</color>次({2}/{3})
TASK_COMPLETE_FAMEHALL	完成<color=#00ff00>{0}</color>({1}/{2})
TASK_ADD_FRIENDS	好友数量达到<color=#00ff00>{0}</color>个({1}/{2})
TASK_JOIN_GROUP	加入军团({0}/{1})
TASK_LEVEL_UP_EUDEMON	升级{0}{1}次({2}/{3})
